SimLocation,PlantingDate
45.7284N118.6464W,17-Mar-11
45.7284N118.6464W,26-Mar-12
45.7284N118.6464W,2-Apr-14
45.7284N118.6464W,31-Mar-16
46.2284N116.3965W,13-May-11
46.2284N116.4382W,17-Apr-12
46.2701N116.3132W,25-Apr-13
46.2701N116.3548W,1-May-15
46.2701N116.3965W,11-Apr-16
46.3950N117.8964W,5-May-11
46.3950N117.8964W,7-May-12
46.3950N117.8964W,16-Apr-13
46.3950N117.8964W,8-Apr-14
46.3950N117.8964W,28-Apr-15
46.3950N117.8964W,18-Apr-16
46.6034N116.9381W,27-Apr-15
46.7284N116.9381W,13-May-11
46.7284N116.9381W,8-May-12
46.7284N116.9381W,6-May-13
46.7284N116.9381W,30-Apr-14
46.7284N116.9381W,27-Apr-15
46.7284N116.9381W,10-May-16
46.8117N117.6881W,22-Apr-12
46.8117N117.7714W,22-Apr-13
46.8117N117.7714W,31-Mar-14
46.8117N117.8131W,6-Apr-16
47.1033N117.6464W,18-Apr-16
47.3533N117.0631W,2-May-16
47.6450N118.1464W,4-May-11
47.6450N118.1464W,23-Apr-12
47.6450N118.1464W,17-Apr-13
47.6450N118.1464W,25-Apr-14
47.6450N118.1047W,19-Apr-16
